"","Subgroup","Date","Station","flag","depth","chlc3","chlc1c2","peri","19-but","fuco","19-hex","neo","prasino","viola","allo","zea","lutein","chl_b","TChl_a"
"1",1,"2018-01-09","QU39",0,0,0.005237222,0.020249077,0.005975973,0.002560263,0.086516658,0.005676284,0.00742237,0.010484937,0.005163044,0.024454642,0.004570718,0.001757874,0.053982787,0.333518083
"2",1,"2018-01-31","QU39",0,0,0.016607081,0.022510951,0.007938138,0,0.084682708,0.004597438,0.005286591,0.008026115,0.00588141,0.024873469,0.005905774,0.001581365,0.0493424,0.354680073
"3",1,"2018-02-13","QU39",0,0,0.010679647,0.029600919,0,0.002235835,0.10951877,0.007519885,0.009375044,0.015850946,0.008670864,0.028954754,0.016685389,0.002283599,0.073426414,0.444134077
"4",1,"2018-02-27","QU39",0,0,0.015426304,0.032081399,0.010870417,0.00437493,0.164722348,0.011008142,0.007516379,0.012166005,0.007602475,0.021710243,0.011481652,0,0.061638871,0.487834555
"5",1,"2018-03-06","QU39",0,0,0.024982465,0.072022376,0,0.004887362,0.319301693,0.024954047,0.005543577,0.007124276,0.011398898,0.020312259,0.006510694,0,0.029890726,0.809856184
"6",1,"2018-03-13","QU39",0,0,0.030172471,0.060662279,0,0.008181965,0.221233527,0.067224604,0.00796112,0.012886798,0.012591177,0.037035937,0.014655281,0.002383649,0.055011881,0.698307567
"7",1,"2018-03-20","QU39",0,0,0.452897822,1.290179144,0.041157063,0.017250623,3.275307197,0.017945682,0.006309241,0.001714238,0.182743935,0.1179628,0.017383415,0.014535236,0.047108873,7.111265837
"8",1,"2018-03-27","QU39",0,0,0.197437752,0.582252025,0.08884844,0,2.45746916,0,0.042240639,0.018096269,0.144750588,0.024943786,0.007422891,0.006938879,0.043228559,4.336475059
"9",1,"2018-04-12","QU39",0,0,0.145835998,0.597336913,0,0,1.926997872,0.000825759,0.003433571,0.003206353,0.110645018,0.030885106,0.007583914,0,0.010547045,4.793657646
"10",1,"2018-04-12","QU39",0,0,0.359681222,1.226949096,0.273949553,0.087045338,3.840596299,0.003185781,0.011224733,0.009111602,0.232614793,0.061837614,0.010385694,0,0.05543076,8.655172891
"11",1,"2018-04-17","QU39",0,0,0.025286264,0.118880846,0.020144123,0.002415083,0.454539322,0.002394731,0.001162288,0.000546376,0.019905797,0.007074235,0.007727304,0,0.005504319,1.033930758
"12",1,"2018-04-24","QU39",0,0,0.752385024,0.99168537,0.191803721,0.63063257,2.132169218,0.134619787,0.052137375,0,0.118046737,0.097028805,0.051649934,0,0.024738794,5.631619215
"13",1,"2018-05-02","QU39",0,0,0.141700022,0.189279449,0.05984442,0.058829171,0.423723554,0.009448094,0.012963397,0.020773871,0.012956263,0.096041213,0.049525249,0,0.098494762,1.35183742
"14",1,"2018-05-08","QU39",0,0,0.011027641,0.049263528,0.016216121,0.002859404,0.163437488,0.023988691,0.003398224,0.001626408,0.007279182,0.020026034,0.028575861,0,0.021422611,0.519639349
"15",1,"2018-05-15","QU39",0,0,0.039366487,0.102241785,0,0.004337032,0.354845277,0.058734464,0.008929395,0.022380882,0.03380263,0.105041142,0.033260786,0.002453517,0.11256755,1.299431294
"16",1,"2018-05-22","QU39",0,0,0.024966074,0.098074822,0.193331673,0.002966942,0.269952886,0.027320686,0.00598537,0.005850005,0.008840927,0.072913184,0.015452399,0,0.068809434,1.276809288
"17",1,"2018-05-29","QU39",0,0,0.031877976,0.087262833,0,0,0.235622901,0.032292539,0.022237998,0.040021703,0.0329719,0.175766764,0.068467894,0.008436634,0.197255568,1.269757287
"18",1,"2018-06-05","QU39",0,0,0.033763878,0.101247207,0.063905755,0.011085114,0.45051216,0.06041562,0.031594412,0.04055419,0.089541932,0.086659694,0.104975275,0.007504778,0.178186702,1.482297905
"19",1,"2018-06-11","QU39",0,0,0.014420125,0.064724162,0.004877255,0,0.279130748,0.009367402,0.019211092,0.032434799,0.050832153,0.064012253,0.09772439,0.003247303,0.13756654,1.113387626
"20",1,"2018-06-18","QU39",0,0,0.030858567,0.076048084,0,0,0.366099375,0.047174174,0,0.156991748,0.041063789,0.158362888,0.240534432,0,0.496289289,1.936342729
"21",1,"2018-06-26","QU39",0,0,0.032527849,0.068842432,0,0.112847349,0.273290008,0,0.090355992,0.075086513,0.05500762,0.111798846,0.424079015,0,0.428411201,1.96690993
"22",1,"2018-07-11","QU39",0,0,0.009741872,0.018819743,0,0.036591949,0.080863401,0,0.037660082,0.030021789,0.017530133,0.037112508,0.578000012,0,0.179669767,1.084810471
"23",1,"2018-07-16","QU39",0,0,0.012546762,0.025796099,0.004965505,0.032968698,0.083033558,0.008758803,0.016344535,0.018727127,0.015417739,0.053700783,0.140322097,0,0.114128734,0.695838131
"24",1,"2018-07-23","QU39",0,0,0.018277091,0.044949834,0.005115732,0,0.15129014,0.03830167,0,0.076251073,0.02223892,0.078837477,0.226016734,0,0.26296462,1.13009048
"25",1,"2018-07-31","QU39",0,0,0.007430042,0.028770123,0,0,0.138031713,0.044109258,0,0,0.003101393,0.018149637,0.006225964,0,0.009516759,0.425458477
"26",1,"2018-08-09","QU39",0,0,0.006629279,0.021981454,0.004727375,0.024294923,0.069050257,0.021869279,0.022941575,0.02707642,0.014537533,0.026567554,0.079552425,0,0.154934763,0.606227157
"27",1,"2018-08-14","QU39",0,0,0.078457247,0.138533177,0,0,0.245296443,0.051842477,0.123963206,0.137881007,0.101419085,0.243068541,0.448909894,0,0.629796973,2.291923294
"28",1,"2018-08-21","QU39",0,0,0.006420724,0.030944387,0,0,0.081037486,0.025893042,0.035113289,0.037823332,0.024703663,0.077747004,0.135026779,0,0.247823301,1.00063283
"29",1,"2018-08-29","QU39",0,0,0.377042011,0.862755826,0,0,4.118876409,0.012021253,0.00245693,0.013877272,0.249067635,0.135317533,0.04809095,0.012304196,0.278123312,8.076421329
"30",1,"2018-09-04","QU39",0,0,0.100632173,0.248670355,0,0.506609502,0.870202202,0.004338796,0.001046188,0,0.012294489,0.025602631,0.011060556,0,0.01919352,2.124540276
"31",1,"2018-09-13","QU39",0,0,0.07231812,0.127462107,0,0,0.439066507,0.031403152,0.038162665,0.036810848,0.037351887,0.117781809,0.182584378,0,0.211341469,1.576223966
"32",1,"2018-09-18","QU39",0,0,0.096622435,0.180500138,0.050608025,0.250436057,0.376296528,0.030309239,0.054964535,0.056878114,0.042706188,0.245919305,0.146871824,0,0.278720192,2.281623582
"33",1,"2018-09-25","QU39",0,0,0.209851814,0.710508353,0,0,4.063254732,0,0.004088558,0.007495997,0.091534562,0.044050225,0.039088485,0.005712915,0.122176806,7.423892112
"34",1,"2018-10-04","QU39",0,0,0,0.330627444,0,0,1.685256328,0,0.001563517,0.018780543,0.062809294,0.01496324,0.005073094,0,0.005025714,3.509011515
"35",1,"2018-10-09","QU39",0,0,0.029484348,0.066205084,0,0.003844369,0.28200436,0.029621423,0.008305844,0.019676364,0.020392926,0.053367157,0.081113655,0,0.106943059,0.971293728
"36",1,"2018-10-16","QU39",0,0,0.091046572,0.330081395,0,0.000648505,1.776508135,0.002973878,0.001302749,0.001645109,0.048451162,0.024819156,0.013241994,0,0.041672697,3.451456334
"37",1,"2018-10-24","QU39",0,0,0.032294298,0.10443149,0,0.003512231,0.408650895,0.012279753,0.006930958,0.006797116,0.013848357,0.014986839,0.033485389,0.00636761,0.043556835,1.005384851
"38",1,"2018-10-30","QU39",0,0,0.033502293,0.105979226,0,0.002839921,0.479040428,0.01109131,0.007008754,0.005074497,0.043238517,0.037536144,0.032764884,0.005524592,0.036057279,1.131536098
"39",1,"2018-11-16","QU39",0,0,0,0,0.044667196,0.043582115,0,0.029654664,0,0.007263396,0,0,0.005670653,0,0.148855194,1.219834049
"40",1,"2018-12-04","QU39",0,0,0.010021075,0.028939179,0,0,0.144836235,0.008697595,0.010157998,0.009901465,0.006883421,0.017890071,0.020504944,0,0.080693276,0.493973028
